Nome,CPF,Matricula,Unidade,Setor,Cargo,Email,Telefone,Celular,DataNascimento,Admissao,Demissao,Ativo
Lucas Andrade Silva,123.456.789-01,HT001,HT,Clínica Médica,Técnico de Enfermagem,lucas.silva@ht.gov,(69) 3212-1001,(69) 98400-1001,1990-04-12,2020-01-10,,True
Mariana Costa Ribeiro,234.567.890-12,HT002,HT,UTI Geral,Enfermeira,mariana.ribeiro@ht.gov,(69) 3212-1002,(69) 98400-1002,1988-11-03,2018-07-02,,True
Eduardo Lopes Martins,345.678.901-23,HT003,HT,Raio-X / Imagem,Técnico de Raio-X,eduardo.martins@ht.gov,(69) 3212-1003,(69) 98400-1003,1985-01-21,2019-03-15,,True
Ana Paula Mendes,456.789.012-34,HT004,HT,Laboratório,Técnico de Laboratório,ana.mendes@ht.gov,(69) 3212-1004,(69) 98400-1004,1992-05-19,2021-08-01,,True
Ricardo Oliveira Souza,567.890.123-45,HT005,HT,Engenharia Clínica,Engenheiro Clínico,ricardo.souza@ht.gov,(69) 3212-1005,(69) 98400-1005,1984-09-30,2016-10-20,,True
Priscila Azevedo Rocha,678.901.234-56,HT006,HT,Faturamento,Assistente Administrativo,priscila.rocha@ht.gov,(69) 3212-1006,(69) 98400-1006,1995-03-04,2022-02-11,,True
João Pedro Ferreira,789.012.345-67,HT007,HT,Recepção,Recepcionista Hospitalar,joao.ferreira@ht.gov,(69) 3212-1007,(69) 98400-1007,1993-06-14,2020-09-30,,True
Larissa Gomes Santos,890.123.456-78,HT008,HT,Psicologia,Psicóloga Hospitalar,larissa.santos@ht.gov,(69) 3212-1008,(69) 98400-1008,1991-07-22,2017-05-18,,True
Marcelo Pires Nogueira,901.234.567-89,HT009,HT,Nutrição,Cozinheiro Hospitalar,marcelo.nogueira@ht.gov,(69) 3212-1009,(69) 98400-1009,1980-02-28,2015-11-02,,True
Camila Batista Fonseca,112.233.445-56,HT010,HT,Administrativo,Assistente Administrativo,camila.fonseca@ht.gov,(69) 3212-1010,(69) 98400-1010,1994-08-09,2019-12-19,,True
Fernanda Queiroz Lima,223.344.556-67,HT011,HT,CME,Técnico de Enfermagem,fernanda.lima@ht.gov,(69) 3212-1011,(69) 98400-1011,1990-10-11,2018-03-05,,True
Tiago Moura Soares,334.455.667-78,HT012,HT,Higienização,Auxiliar de Serviços Gerais,tiago.soares@ht.gov,(69) 3212-1012,(69) 98400-1012,1987-12-17,2016-06-22,,True
Patrícia Andrade Fiuza,445.566.778-89,HT013,HT,Recursos Humanos,Assistente Administrativo,patricia.fiuza@ht.gov,(69) 3212-1013,(69) 98400-1013,1989-09-24,2021-01-03,,True
Wellington Borges Dias,556.677.889-90,HT014,HT,SESMT,Técnico de Segurança do Trabalho,wellington.dias@ht.gov,(69) 3212-1014,(69) 98400-1014,1986-02-12,2015-02-10,,True
Gabriela Souza Fonseca,667.788.990-01,HT015,HT,Farmácia,Farmacêutica,gabriela.fonseca@ht.gov,(69) 3212-1015,(69) 98400-1015,1993-03-28,2018-09-14,,True
André Felipe Couto,778.899.001-12,HT016,HT,Engenharia,Engenheiro Eletricista,andre.couto@ht.gov,(69) 3212-1016,(69) 98400-1016,1985-11-19,2014-07-30,,True
Juliana Paes Antunes,889.900.112-23,HT017,HT,Fisioterapia,Fisioterapeuta,juliana.antunes@ht.gov,(69) 3212-1017,(69) 98400-1017,1992-01-07,2020-04-21,,True
Paulo Henrique Duarte,990.011.223-34,HT018,HT,Manutenção Predial,Técnico de Manutenção,paulo.duarte@ht.gov,(69) 3212-1018,(69) 98400-1018,1981-05-17,2013-08-12,,True
Rafaela Torres Moreira,101.112.223-45,HT019,HT,Pediatria,Enfermeira,rafaela.moreira@ht.gov,(69) 3212-1019,(69) 98400-1019,1996-12-25,2022-11-05,,True
Bruno Machado Guimarães,202.223.334-56,HT020,HT,Segurança Patrimonial,Vigilante,bruno.guimaraes@ht.gov,(69) 3212-1020,(69) 98400-1020,1983-09-02,2016-04-09,,True

